index,html_color', 'r,g,b', 'black', 'gray', 'sliver', 'white', 'maroon', 'red', 'olive', 'yellow', 'green', 'lime', 'teal', 'aqua', 'navy', 'blue', 'orange', 'purple', 'fuchsia', 'brown'
Horror_14.jpg2,#191410',25,20,16,7.553288238,46.9872522,71.06381941,93.33950031,61.16640044,111.5703656,71.5421392,130.6110647,81.13878842,143.7660353,52.72938326,99.39100296,82.15740432,137.8335032,104.450027,73.4473645,127.7241827,54.7939672
Horror_14.jpg1,#79584b',121,88,75,44.08402784,21.79153856,41.08568942,62.00253305,46.65366464,88.2421207,51.53073744,104.7592206,73.66193103,129.4608531,46.50306739,82.88231319,89.76014102,138.5562819,75.49824155,69.13968932,115.3708729,31.86492503
Horror_17.jpg2,#5b5b65',91,91,101,39.45633668,15.83918733,39.20782841,61.32868725,64.79011161,107.6394183,65.48320723,118.264243,77.79045268,134.5093102,32.52512047,72.92664631,78.7886675,128.0836615,94.51465338,65.18401886,112.7607214,52.63369805
Horror_17.jpg1,#1f1f22',31,31,34,12.06756886,41.77230827,65.87093103,88.15743243,63.47057511,113.1208912,72.35144533,130.7076139,81.43080524,143.4535085,47.35671887,93.87897333,78.18143492,133.2908062,105.22324,69.92940748,123.7082432,56.25529912
Horror_11.jpg1,#0c1013',12,16,19,5.000736961,49.15711059,73.25993459,95.5476523,66.5727761,117.0797965,76.49988305,135.4698805,83.96835608,146.6860399,52.43741838,99.48218505,79.44728069,135.4152381,110.1895767,73.32200322,127.8753848,60.67812384
Horror_11.jpg2,#44565c',68,86,92,36.1847009,19.89667152,43.11505005,65.16256296,69.78343135,113.7983603,65.04121579,118.8843797,73.23843898,131.1103924,26.93763917,70.76488306,82.27189235,132.6042216,98.00756625,71.47908461,119.9681801,56.59020009
Horror_11.jpg3,#dcdddd',220,221,221,88.04096856,34.45709847,10.34203669,11.96511779,87.78210048,110.51217,68.50768833,97.38038611,82.99725687,119.6215193,49.65153791,49.85355883,109.9744339,145.050601,83.74683492,90.71286405,119.0397199,70.45877648
Horror_4.jpg3,#753734',117,55,52,43.75065794,37.88637601,55.62423473,75.24734881,32.0741291,77.9523357,61.44184359,114.270266,87.4064476,143.7610724,62.67639548,100.1487178,84.00905528,133.2236535,77.78307533,60.3774002,107.8668044,27.05621459
Horror_4.jpg2,#160b0a',22,11,10,5.79525971,49.86876763,73.92797869,96.19475802,61.08921261,111.8828267,74.79410866,133.8972409,84.8166069,147.5197063,56.07436279,102.7676787,80.05478184,136.0346124,106.7630018,71.87847172,126.5278619,56.30446086
Horror_4.jpg1,#dddddd',221,221,221,88.11542344,34.5304232,10.41102313,11.88457693,87.59838383,110.2178758,68.51192829,97.33218663,83.17313178,119.7817746,49.92626856,50.20586333,109.9492215,144.9830334,83.54910316,90.58879338,118.8385583,70.31586464
